Temperature (K)	HCTotal (uJ/K)	HCSample (µJ/K)	Field (Oe)
2,6073067	-1,3640357	-1,561618	7999,757
2,6091343	-2,1535785	-2,3515027	7999,757
2,6106457	-3,1570247	-3,3552321	7999,757
2,6120716	-4,5356777	-4,7341523	7999,757
2,6134841	-5,2542201	-5,4529597	7999,757
2,6148309	-6,1764897	-6,3754821	7999,757
2,6160726	-6,9801272	-7,1793529	7999,757
2,6171553	-7,3594264	-7,5588556	7999,757
2,6183721	-8,8457866	-9,0454447	7999,757
2,6195888	-10,841521	-11,041408	7999,757
2,6205143	-12,414973	-12,615035	7999,757
0,74185767	17,136012	17,094743	9999,795
0,78941608	19,268694	19,228244	9999,795
0,83124505	21,268272	21,228345	9999,795
0,86878557	23,245826	23,20621	9999,795
0,902767	25,221166	25,181701	9999,795
0,93377325	27,264151	27,224717	9999,795
0,96217658	29,374559	29,335062	9999,795
0,9882385	31,619582	31,57995	9999,795
1,0121491	34,132959	34,09314	9999,795
1,0339312	37,145751	37,105707	9999,795
1,0536451	40,916737	40,876445	9999,795
1,0720416	44,080441	44,039879	9999,795
1,0895887	45,522473	45,481619	9999,795
1,1066584	45,021705	44,980534	9999,795
1,1235406	43,329925	43,28841	9999,795
1,1406167	41,656454	41,614558	9999,795
1,1581827	41,15805	41,11573	9999,795
1,175792	41,162849	41,120069	9999,795
1,1932158	41,411889	41,36862	9999,795
1,2103562	41,771618	41,727835	9999,795
1,2271617	42,339194	42,294875	9999,795
1,2435627	43,083673	43,038801	9999,795
1,2594218	44,237202	44,191767	9999,795
1,2749122	45,172548	45,126535	9999,795
1,2908347	43,847028	43,800394	9999,795
1,3075243	40,530412	40,483097	9999,795
1,3252304	36,474863	36,426789	9999,795
1,3441408	32,766847	32,717925	9999,795
