#
# Takin/Monteconvo version 2.6.0
# MC neutrons: 1000
# MC sample steps: 1
#
# h          k            l            E            S(Q,E)      
0.215        0.215        1            0.8          9.54534e-09 
0.215        0.215        1            0.81         8.89455e-09 
0.215        0.215        1            0.82         1.40653e-10 
0.215        0.215        1            0.83         2.48694e-11 
0.215        0.215        1            0.84         4.04129e-12 
0.215        0.215        1            0.85         2.24126e-12 
0.215        0.215        1            0.86         7.46696e-13 
0.215        0.215        1            0.87         1.93055e-11 
0.215        0.215        1            0.88         1.66426e-15 
0.215        0.215        1            0.89         3.76103e-15 
0.215        0.215        1            0.9          5.50451e-17 
0.215        0.215        1            0.91         2.31344e-17 
0.215        0.215        1            0.92         2.73192e-20 
0.215        0.215        1            0.93         1.3894e-22  
0.215        0.215        1            0.94         1.07567e-24 
0.215        0.215        1            0.95         3.92809e-23 
0.215        0.215        1            0.96         5.53416e-29 
0.215        0.215        1            0.97         6.25428e-30 
0.215        0.215        1            0.98         1.76864e-27 
0.215        0.215        1            0.99         8.78109e-35 
0.218        0.218        1            0            0.508525    
0.218        0.218        1            0.01         0.511787    
0.218        0.218        1            0.02         0.44171     
0.218        0.218        1            0.03         0.37663     
0.218        0.218        1            0.04         0.293174    
0.218        0.218        1            0.05         0.189037    
0.218        0.218        1            0.06         0.129943    
0.218        0.218        1            0.07         0.0683755   
0.218        0.218        1            0.08         0.0414979   
0.218        0.218        1            0.09         0.0203674   
0.218        0.218        1            0.1          0.010022    
